% q Iq0 Iq_cross Iq_resonant Residual
0.46711111 6701597.811675601 -12006.11319455724 -980.023957263102 11857.006850693459
0.47315152 5333520.5427561095 -10856.706666488493 -763.771165908854 10002.597621862273
0.47919192 3926658.037953739 -9220.031305195664 -532.7461916232563 8109.926517939475
0.48523232 2618743.8586000334 -7226.32048423408 -307.7096953823168 6404.803164140191
0.49127273 1527574.069760061 -5021.758017079983 -107.02704553774376 5061.438921326932
0.49731313 740616.7811389822 -2756.3954272241663 54.904593264528614 4139.841491997736
0.50335354 308518.09786676645 -572.913783629538 168.6994303412776 3555.3538886319175
0.50939394 242807.56342954657 1402.7483128105503 230.4302556809769 3181.023655647503
0.51543434 517683.0841466938 3068.7796530821915 241.51521283911976 3031.2020887195454
0.52147475 1075360.7066365299 4352.347287042692 208.08833982606495 3296.9549350167986
0.52751515 1834173.4246514074 5211.858455408009 139.96230658098588 4089.8661829494567
0.53355556 2698405.1223371197 5636.986622312181 49.33463726271659 5273.101002054083
0.53959596 3568752.0689506163 5646.406138164679 -50.63475200264156 6622.601544843641
0.54563636 4352339.576325962 5283.913365303642 -147.20989502475678 7946.254894829166
0.55167677 4971345.684605985 4613.364635097154 -229.29412936973452 9100.562261378374
0.55771717 5369494.969307137 3712.8579802991835 -288.3793398052594 9988.025104050195
0.56375758 5515950.479537928 2668.6248781660024 -319.1539880048877 10555.907692717703
0.56979798 5406423.084283803 1569.0736215947945 -319.7413885732784 10792.675035891749
0.57583838 5061605.24086186 499.51651454520504 -291.5623804281091 10723.013033149868
0.58187879 4523281.218785717 -462.5902148210538 -238.8966745604153 10398.697174854959
0.58791919 3848676.2521973494 -1251.2653996336032 -168.18009555941356 9885.47495064943
0.5939596 3103727.156416368 -1814.7854884623207 -87.15699382227379 9248.374691297238
0.6 2356019.557219031 -2117.201956925435 -3.9582600455878634 8538.564321067675
