% q Iq0 Iq_cross Iq_resonant Residual
0.50939394 29327473.030138373 295364.78582603286 -2366.8759757117055 281030.7950431596
0.51543434 22424911.271110352 236346.3106587543 -1708.8796777714983 229078.95637171075
0.52147475 15966149.31189891 180629.84169713312 -941.0431506425747 175818.77004398126
0.52751515 10345699.142028887 131034.80913032898 -137.34899004234833 124514.09298376946
0.53355556 5876369.908308828 89777.21570566142 631.1405711051214 78066.50651274783
0.53959596 2771028.515873557 58361.956897988064 1301.6198526733162 38849.13298046991
0.54563636 1132625.1481637985 37531.33769341864 1823.8495771385237 8872.616545676485
0.55167677 952754.1195414041 27269.795467023854 2163.196461407816 12851.775860431128
0.55771717 2118385.9234012514 26860.770947935172 2302.2552529633053 23660.775808190294
0.56375758 4425831.554095296 34988.04055431019 2241.0143458639245 25919.587275085385
0.56979798 7600533.962777867 49871.46871278605 1995.650291739214 22349.478606701963
0.57583838 11320934.034984574 69425.12004320139 1596.1202291811912 20850.706103145996
0.58187879 15244464.749561222 91425.24755925416 1082.8241315643827 31431.471172326757
0.58791919 19033672.21588153 113675.36565132895 502.64130337787225 50283.312694363354
0.5939596 22380592.29590879 134158.4757565036 -95.23478463487861 71525.70796209249
0.6 25027651.649733335 151163.0149180337 -663.5297062780079 91975.84605953872
