% q Iq0 Iq_cross Iq_resonant Residual
0.002 24217167168.127865 -16496790.159234544 -3309969.239977869 37653823.153340064
0.008040404 23995041909.807262 -16391454.305271517 -3279204.004301975 37320923.24823689
0.014080808 23511810194.277584 -16160389.19411678 -3212220.366536686 36597318.157659866
0.020121212 22781069719.2651 -15808371.313271638 -3110972.3663088484 35501748.3983047
0.026161616 21823190132.882854 -15341594.271420477 -2978299.527292286 34065721.604525104
0.03220202 20664491328.548855 -14768093.030679764 -2817870.4859566744 32327742.79481198
0.038242424 19336184220.27917 -14098150.755531363 -2634061.0293218577 30335119.301283624
0.044282828 17873155630.503994 -13343659.486736922 -2431756.6414788985 28138602.829217803
0.050323232 16312633644.135206 -12517300.789597595 -2216129.4897039975 25793944.760517415
0.056363636 14692778932.451725 -11633572.347481327 -1992529.9412448334 23357277.756972656
0.06240404 13051310811.668594 -10707635.266991146 -1766228.7870352007 20885030.198032483
0.068444444 11424215397.91401 -9754118.81671267 -1542193.2294038115 18429644.785884477
0.074484848 9844540442.817472 -8788811.210343065 -1325041.7650085709 16040012.272411741
0.080525253 8341424105.6455345 -7826504.6210014485 -1118794.8720472814 13759163.090619298
0.086565657 6939305206.393121 -6881584.249295403 -926826.7383362232 11622853.10330176
0.092606061 5657390965.077124 -5967363.035638439 -751768.3922816978 9658987.667295324
0.098646465 4509374980.990882 -5095830.306673282 -595474.0796804323 7887622.910164407
0.10468687 3503406839.8186336 -4277448.91376984 -459023.0110284339 6320310.9838102115
0.11072727 2642300292.8122234 -3520917.981293185 -342747.88045893284 4960924.5623274045
0.11676768 1923954785.1405776 -2832889.9044322497 -246287.9146186388 3805869.339340014
0.12280808 1341948939.1946974 -2218090.4815277206 -168689.52640242092 2845466.3982952875
0.12884848 886273138.4709665 -1679161.7375040473 -108501.46787416437 2064569.6350042482
0.13488889 544148324.3106469 -1216699.592182329 -63891.36865492558 1444114.5939913827
0.14092929 300885517.42530394 -829392.0026711128 -32770.14041927825 962334.4743816125
0.1469697 140740449.67277303 -514160.59924535005 -12911.025477805864 596168.1171877327
